name,city,postalCode,address,url,longitude,latitude
Årbækmølle Strand,Øster Assels,7990,Årbækmøllevej 20,https://www.ticketmaster.dk/venue/arbaekmolle-strand-ster-assels-billetter/ars/203,8.78471,56.71813
Asterions Hus,København K,1432,William Wains Gade 9-11,https://www.ticketmaster.dk/venue/asterions-hus-kobenhavn-k-billetter/ash/203,12.61268,55.69662
Amfiscenen v/Geografisk Have,Kolding,6000,Chr. 4 vej 55,https://www.ticketmaster.dk/venue/amfiscenen-v-geografisk-have-kolding-billetter/asc/203,9.47305,55.49597
Aalborg Teater - Skolescenen,Aalborg,9000,Jernbanegade 9-11,https://www.ticketmaster.dk/venue/aalborg-teater-skolescenen-aalborg-billetter/ask/165,10.11538,56.88681
Sct. Andreas Kirke,København K,1123,Gothersgade 148,https://www.ticketmaster.dk/venue/sct-andreas-kirke-kobenhavn-k-billetter/and/203,12.56855,55.68603
"Festivalpladsen, Ans Søbred",Ans By,8643,Søgade,https://www.ticketmaster.dk/venue/festivalpladsen-ans-sobred-ans-by-billetter/anb/203,8.89502,56.4647
"Amfiscenen, Brands Klædefafabrik",Odense C,5000,Brandts Passage,https://www.ticketmaster.dk/venue/amfiscenen-brandts-klaedefabrik-odense-c-billetter/amf/237,10.38133,55.39525
Beta,København S,2300,Øresundsvej 6,https://www.ticketmaster.dk/venue/beta-kobenhavn-s-billetter/amb/256,12.60935,55.65794
Århus Hovedbibliotek,Aarhus C,8000,Møllegade 1,https://www.ticketmaster.dk/venue/arhus-hovedbibliotek-aarhus-c-billetter/arh/203,10.05126,56.10692
Arken,Ishøj,2635,Skovvej 100,https://www.ticketmaster.dk/venue/arken-ishoj-billetter/ark/176,12.38764,55.60612
Alternativ Sommerfestival,Herning,7400,"Hjøllundvej 27, Arnborg",https://www.ticketmaster.dk/venue/alternativ-sommerfestival-herning-billetter/alt/203,8.96705,56.01183
Cirkuspladsen,Brovst,,Cirkuspladsen,https://www.ticketmaster.dk/venue/cirkuspladsen-brovst-billetter/c51/203,9.5319,57.1259
Cirkuspladsen i Hune,Blokhus,,Cirkuspladsen i Hune,https://www.ticketmaster.dk/venue/cirkuspladsen-i-hune-blokhus-billetter/c48/203,9.61532,57.24774
