"","name","city","postalCode","address","url","longitude","latitude"
"6258","Diverse Veranstaltungsstätten","Kaiserslautern",67655,"Diverse Veranstaltungsstätten","https://www.ticketmaster.de/venue/diverse-veranstaltungsstatten-kaiserslautern-tickets/kaidiverse/701",7.77293,49.44283
"6259","Lutherkirche","Worms",67549,"Friedrich-Ebert-Straße 45","https://www.ticketmaster.de/venue/lutherkirche-worms-tickets/worlutherk/701",8.3477,49.63409
"6260","Cotton Club Kammgarn","Kaiserslautern",67659,"Schoenstraße 10","https://www.ticketmaster.de/venue/cotton-club-kammgarn-kaiserslautern-tickets/kaikammcot/701",7.75646,49.44715
"6261","Saalbau","Neustadt",67434,"Bahnhofstraße 1","https://www.ticketmaster.de/venue/saalbau-neustadt-tickets/ndwsaalbau/701",8.13931,49.35092
"6262","Hambacher Schloss","Neustadt",67434,"An der Weinstraße","https://www.ticketmaster.de/venue/hambacher-schloss-neustadt-tickets/ndwhambach/701",8.11815,49.32495
"6263","Badepark Hassloch","Haßloch",67454,"Lachener Weg 175","https://www.ticketmaster.de/venue/badepark-hassloch-hassloch-tickets/hlcbadepar/701",8.24897,49.34978
"6264","Technik Museum (Hausboot)","Speyer",67346,"Am Technikmuseum 1","https://www.ticketmaster.de/venue/technik-museum-hausboot--speyer-tickets/spetechnik/701",8.44122,49.31728
"6265","Sea Life","Speyer",67346,"Im Hafenbecken 5","https://www.ticketmaster.de/venue/sea-life-speyer-tickets/spesealife/701",8.44742,49.31885
"6266","URGALBEN - Alte Posthalterei","Waldfischbach-Burgalben",67714,"Hauptstraße 65","https://www.ticketmaster.de/venue/urgalben-alte-posthalterei-waldfischbach-burgalben-tickets/wfbaltepos/701",7.65017,49.28673
"6267","URGALBEN - Bürgerhaus Schuhfabri","Waldfischbach-Burgalben",67714,"Friedhofstraße 3","https://www.ticketmaster.de/venue/urgalben-burgerhaus-schuhfabri-waldfischbach-burgalben-tickets/wfbbuerger/701",7.65356,49.28514
"6268","Dreifaltigkeitskirche","Speyer",67346,"Große Himmelsgasse 4","https://www.ticketmaster.de/venue/dreifaltigkeitskirche-speyer-tickets/spedreifal/701",8.4387,49.31789
"6269","Fahr Werk Rennsport Center","Groß-Zimmern",64846,"Waldstraße 79","https://www.ticketmaster.de/venue/fahr-werk-rennsport-center-gross-zimmern-tickets/gzifahrwer/701",8.81754,49.88266
"6270","Kulturpalast","Wiesbaden",65183,"Saalgasse","https://www.ticketmaster.de/venue/kulturpalast-wiesbaden-tickets/wiekulturp/701",8.24077,50.08591
"6271","Freilichtbühne","Heppenheim",64646,"Oberhalb der Stadt","https://www.ticketmaster.de/venue/freilichtbuhne-heppenheim-tickets/hphfreilic/701",8.63889,49.64306
"6272","Finkenbach Festival","Finkenbach-Gersweiler",64757,"Festivalgelände","https://www.ticketmaster.de/venue/finkenbach-festival-finkenbach-gersweiler-tickets/finfinkenb/701",7.7457,49.68231
"6273","KUK Schlachthof Räucherkammer","Wiesbaden",65189,"Murnaustraße 1","https://www.ticketmaster.de/venue/kuk-schlachthof-raucherkammer-wiesbaden-tickets/wiekukrauc/701",8.24876,50.06611
"6274","Diverse Veranstaltungsstätten","Heppenheim",64646,"Diverse Veranstaltungsstätten","https://www.ticketmaster.de/venue/diverse-veranstaltungsstatten-heppenheim-tickets/hphdiverse/701",8.63886,49.642538
"6275","Schloss Auerbach","Bensheim",64625,"Bahnstraße 15","https://www.ticketmaster.de/venue/schloss-auerbach-bensheim-tickets/benschloss/701",8.61726,49.6839
"6276","Weststadthalle","Bensheim",64625,"Berliner Ring 87","https://www.ticketmaster.de/venue/weststadthalle-bensheim-tickets/benweststa/701",8.60749,49.68739
"6277","Kulturhalle","Biebesheim am Rhein",64584,"Ludwigstraße 7","https://www.ticketmaster.de/venue/kulturhalle-biebesheim-am-rhein-tickets/bihkulturh/701",8.4686,49.77949
"6278","Rheinhalle","Biebesheim am Rhein",64584,"Am Schüttengrund 2","https://www.ticketmaster.de/venue/rheinhalle-biebesheim-am-rhein-tickets/bihrheinha/701",8.45837,49.78539
"6279","Evangelische Kirche","Biebesheim am Rhein",64584,"Kirchgasse 19","https://www.ticketmaster.de/venue/evangelische-kirche-biebesheim-am-rhein-tickets/bihevangel/701",8.46129,49.78179
"6280","Kulturzentrum Faselstall","Biebesheim am Rhein",64584,"Obere Beinstraße 2","https://www.ticketmaster.de/venue/kulturzentrum-faselstall-biebesheim-am-rhein-tickets/bihkulturz/701",8.46285,49.77875
"6281","Verkehrsübungplatz Völker","Dieburg",64807,"Am Bauhof 12","https://www.ticketmaster.de/venue/verkehrsubungplatz-volker-dieburg-tickets/dibverkehr/701",8.84278,49.90578
"6282","Aula der Fachhochschule","Dieburg",NA,"Max-Planck-Straße 2","https://www.ticketmaster.de/venue/aula-der-fachhochschule-dieburg-tickets/dibaulafac/701",8.85516,49.90162
"6283","Diverse Veranstaltungsstätten","Dieburg",64807,"Diverse Veranstaltungsstätten","https://www.ticketmaster.de/venue/diverse-veranstaltungsstatten-dieburg-tickets/dibdiverse/701",8.8445,49.90106
"6284","Stadthalle","Schöfferstadt Gernsheim",64579,"Georg-Schäfer-Platz","https://www.ticketmaster.de/venue/stadthalle-schofferstadt-gernsheim-tickets/gehstadthl/701",8.487166,49.751699
"6285","Bürgerhaus","Mörfelden-Walldorf",64546,"Westendstraße 60","https://www.ticketmaster.de/venue/burgerhaus-morfelden-walldorf-tickets/mofbuergen/701",8.56228,49.9727
"6286","Kath. Kirche Maria Magdalena","Schöfferstadt Gernsheim",64579,"Magdalenenstraße","https://www.ticketmaster.de/venue/kath-kirche-maria-magdalena-schofferstadt-gernsheim-tickets/gehkatholi/701",8.48401,49.751438
"6287","ERAU - Diverse Veranstaltungsstä","Groß-Gerau",64521,"Diverse Veranstaltungsstätten","https://www.ticketmaster.de/venue/erau-diverse-veranstaltungssta-gross-gerau-tickets/ggrdiverse/701",8.45981,49.9056
"6288","Stadthalle","Mörfelden-Walldorf",64546,"Waldstraße 100","https://www.ticketmaster.de/venue/stadthalle-morfelden-walldorf-tickets/mofstadtha/701",8.56845,50.00314
"6289","Büsing Palais","Offenbach am Main",63065,"An der Berliner Straße","https://www.ticketmaster.de/venue/busing-palais-offenbach-am-main-tickets/oambuesing/701",8.74193,50.10551
"6290","Bürgerhaus","Niddatal",61194,"Hauptstraße 2","https://www.ticketmaster.de/venue/burgerhaus-niddatal-tickets/ndtbuerger/701",8.81375,50.30062
