name,city,postalCode,address,url,longitude,latitude
Camp X Gavekort,Frederiksberg,NA,Camp X,https://www.ticketmaster.dk/venue/camp-x-gavekort-frederiksberg-billetter/cax/226,12.52418,55.67605
Charlottehaven,København Ø,2100,Hjørringgade 12 C,https://www.ticketmaster.dk/venue/charlottehaven-kobenhavn--billetter/chh/203,12.5885,55.70544
Copenhagen Golf Center,Vallensbæk,2625,Golfsvinget 16 - 20,https://www.ticketmaster.dk/venue/copenhagen-golf-center-vallensbaek-billetter/cgc/203,12.38329,55.63142
Christiansborg,København K,1218,Prins Jørgen Gård,https://www.ticketmaster.dk/venue/christiansborg-kobenhavn-k-billetter/chb/203,12.57945,55.67681
Club Faust,København K,1204,Magstræde 12-14,https://www.ticketmaster.dk/venue/club-faust-kobenhavn-k-billetter/cfa/203,12.57539,55.67641
Chaluphuset,Fredensborg,3480,Skipper Allé 6,https://www.ticketmaster.dk/venue/chaluphuset-fredensborg-billetter/cha/203,12.34544,55.96025
Cirkusteltet på Bakken,Klampenborg,2930,Dyrehavsbakken,https://www.ticketmaster.dk/venue/cirkusteltet-pa-bakken-klampenborg-billetter/cib/203,12.5751,55.77588
"Christianskirken, Lyngby",Kongens Lyngby,2800,Christians X's Allé 120,https://www.ticketmaster.dk/venue/christianskirken-lyngby-kongens-lyngby-billetter/chl/203,12.49769,55.76493
Clausholm Slot,Hadsten,8370,"Clausholmvej 308, Voldum",https://www.ticketmaster.dk/venue/clausholm-slot-hadsten-billetter/chs/203,10.16998,56.38465
"Christians Kirke, Chr. Havn",København K,1401,Strandgade 1,https://www.ticketmaster.dk/venue/christians-kirke-kobenhavn-k-billetter/chk/203,12.58744,55.67268
Christiansborg Ridehus,København K,1218,Christiansborg Ridebane 11,https://www.ticketmaster.dk/venue/christiansborg-ridehus-kobenhavn-k-billetter/chr/203,12.577209999999999,55.67575
Cafe Hack,Aarhus C,8000,Teatergaden 1,https://www.ticketmaster.dk/venue/cafe-hack-aarhus-c-billetter/caf/203,10.05126,56.10692
"DBU's Fodboldcamps, Jylland",Diverse byer,NA,"DBU's Fodboldcamps, Jylland",https://www.ticketmaster.dk/venue/dbus-fodboldcamps-jylland-diverse-byer-billetter/ca1/244,12.41402,55.65599
"Aarhus Teater, Cabaretscenen",Aarhus C,8000,Aarhus Teater,https://www.ticketmaster.dk/venue/aarhus-teater-cabaretscenen-aarhus-c-billetter/cab/225,9.556,56.102
Markedspladsen/Ringvejen,Rømø,6792,Lakolk Butikscenter 14,https://www.ticketmaster.dk/venue/party-on-romo-club-pure-passion-romo-billetter/c62/203,8.49693,55.14661
"DBU's Fodboldcamps, Fyn",Diverse byer,NA,"DBU's Fodboldcamps, Fyn",https://www.ticketmaster.dk/venue/dbus-fodboldcamps-fyn-diverse-byer-billetter/ca2/244,12.41402,55.65599
Rom Flyveplads/Ringkøbingvej,Lemvig,NA,Rom Flyveplads/Ringkøbingvej,https://www.ticketmaster.dk/venue/rom-flyveplads-ringkobingvej-lemvig-billetter/c61/203,8.30251,56.50153
Ved Havnen,Vestervig,7770,Ved Havnen,https://www.ticketmaster.dk/venue/ved-havnen-vestervig-billetter/c58/203,8.31772,56.76257
Ved Rådhuset/Ærøvej,Thyborøn,NA,Ved Rådhuset/Ærøvej,https://www.ticketmaster.dk/venue/ved-radhuset-rovej-thyboron-billetter/c60/203,8.21565,56.69522
Sportspladsen i Nr. Vorupør,Thisted,NA,Sportspladsen i Nr. Vorupør,https://www.ticketmaster.dk/venue/sportspladsen-i-nr-vorupor-thisted-billetter/c57/203,8.38213,56.95322
Hvidbjerg,Brøndby,2605,Nyggards Plads,https://www.ticketmaster.dk/venue/hvidbjerg-brondby-billetter/c59/203,12.41489,55.64731
Carlsberg - Gårdcafeen,Valby,2500,Gamle Carlsberg vej 11,https://www.ticketmaster.dk/venue/carlsberg-gardcafeen-valby-billetter/cbm/203,12.52988,55.66481
Ny Carlsberg Bryghus,København V,1799,Ny Carlsbergvej v. Elefantporten,https://www.ticketmaster.dk/venue/ny-carlsberg-bryghus-kobenhavn-v-billetter/cbg/203,12.54414,55.66589
Café Slotsbio,Hillerød,3400,Frederiksværksgade 11 C,https://www.ticketmaster.dk/venue/cafe-slotsbio-hillerod-billetter/cbi/192,12.27875,55.93916
Charlottenborg Festsal,København K,1022,Kgs. Nytorv 1,https://www.ticketmaster.dk/venue/charlottenborg-festsal-kobenhavn-k-billetter/cbf/203,12.57328,55.67767
Café Bernhard,Præstø,4720,Adelgade 41,https://www.ticketmaster.dk/venue/cafe-bernhard-praesto-billetter/cbh/203,12.04059,55.12165
Ved Klitmøller Camping,Thisted,7700,Ved Klitmøller Camping,https://www.ticketmaster.dk/venue/ved-klitmoller-camping-thisted-billetter/c56/203,8.70349,56.95917
Festpladsen,Nibe,NA,Festpladsen,https://www.ticketmaster.dk/venue/festpladsen-nibe-billetter/c53/203,9.65264,56.98954
Sportspladsen,Frøstrup,NA,Sportspladsen,https://www.ticketmaster.dk/venue/sportspladsen-frostrup-billetter/c55/203,9.38887,56.4595
Dyrskuepladsen,Løgstør,NA,Dyrskuepladsen,https://www.ticketmaster.dk/venue/dyrskuepladsen-logstor-billetter/c52/203,9.23731,56.94221
Dyrskuepladsen,Fjerritslev,NA,Dyrskuepladsen,https://www.ticketmaster.dk/venue/dyrskuepladsen-fjerritslev-billetter/c54/203,9.24058,57.08624
Biografen Øst for Paradis,Aarhus C,8000,"Paradisgade 7, 1",https://www.ticketmaster.dk/venue/biografen-st-for-paradis-aarhus-c-billetter/bop/203,10.05126,56.10692
Borups Højskole,København K,1220,Frederiksholms Kanal 24,https://www.ticketmaster.dk/venue/borups-hojskole-kobenhavn-k-billetter/boh/203,12.57751,55.67379
Boldhus Teatret,København K,1066,Admiralgade 26,https://www.ticketmaster.dk/venue/boldhus-teatret-kobenhavn-k-billetter/bol/203,12.58208,55.6776
Borreby Teater,Skælskør,4230,Borrebyvej 41,https://www.ticketmaster.dk/venue/borreby-teater-skaelskor-billetter/bob/203,11.2907,55.23334
"Boldklubben Skjold, Kontoret",København Ø,2100,P.H.Lings Alle 10,https://www.ticketmaster.dk/venue/boldklubben-skjold-kontoret-kobenhavn--billetter/bks/203,12.49183,55.68292
Borgmester Jensens Alle v/Parken,København Ø,2100,Borgmester Jensens Alle v/Parken,https://www.ticketmaster.dk/venue/borgmester-jensens-alle-v-parken-kobenhavn--billetter/bja/203,12.56679,55.70516
Brændkjærkirken,Kolding,6000,Agtrupvej 114,https://www.ticketmaster.dk/venue/braendkjaerkirken-kolding-billetter/bki/203,9.48558,55.47913
Bisserup Forsamlingshus,Rude,4243,Skafterupvej 184,https://www.ticketmaster.dk/venue/bisserup-forsamlingshus-rude-billetter/bis/203,11.49679,55.20116
Bjerget,København S,2300,Ørestads Boulevard 55,https://www.ticketmaster.dk/venue/bjerget-kobenhavn-s-billetter/bjg/203,12.58236,55.63487
